rank,未来,静香,翼,琴葉,エレナ,美奈子,恵美,まつり,星梨花,茜,杏奈,ロコ,百合子,紗代子,亜利沙,海美,育,朋花,エミリー,志保,歩,ひなた,可奈,奈緒,千鶴,このみ,環,風花,美也,のり子,瑞希,可憐,莉緒,昴,麗花,桃子,ジュリア
22,1405228,1062551,1138200,2008124,890521,1615870,1269500,819656,1547057,632607,1560831,859191,1397491,1430031,756586,1091414,571703,1141372,947053,1402460,616043,541070,1019769,963720,660607,1013531,924185,692853,957373,672133,1103763,792588,1007022,773590,969224,1325547,995917
23,1292983,1046921,1112878,1995505,803070,1578711,1252783,805609,1466262,628040,1530848,856191,1334905,1386335,743420,1078383,564759,1100918,946400,1398669,595851,524131,1016364,952228,653472,1012207,920341,677192,949315,651365,1088574,789924,1005485,760188,962696,1261376,958997
24,1276543,1045763,1112699,1988537,800416,1521210,1237940,778661,1368074,586096,1518558,841452,1298690,1372176,722354,1055401,556791,1073947,853650,1363813,581214,518834,1002410,950594,645161,1006788,875550,675774,883817,646003,1080595,778092,937435,758156,946833,1189691,958989
25,1263290,1023052,1082823,1973620,703767,1514568,1236620,753370,1324520,571590,1505356,838292,1295687,1324113,722262,1055194,532743,1024174,841558,1363498,571665,510448,998768,947327,643636,1006159,848697,673764,843450,641819,1062680,775585,867731,738366,930185,1187902,932695
26,1222517,1015569,1073046,1968621,703254,1510030,1232439,726883,1303753,559718,1466273,833454,1261501,1309631,721572,1051549,526137,1016171,827869,1350364,556508,501085,964332,935110,639818,1002275,845571,649307,838819,629445,1050279,774378,843729,717326,914777,1155783,909096
27,1203648,1014325,1068748,1927994,699455,1485236,1230563,711721,1256200,555220,1430004,819627,1214891,1271515,705388,1043885,516593,1012731,824731,1345740,534238,497527,959030,921230,626713,999950,819238,639956,774579,604876,1042028,739204,840507,716661,913230,1145005,903908
28,1176824,1012919,1051529,1861841,690485,1479859,1218664,704672,1233597,554076,1415315,764856,1200277,1248613,680463,1034774,511341,1012202,823957,1345536,526951,463346,934304,869695,623713,908337,803819,630188,743751,545831,1029792,721166,835826,716603,884932,1132468,887044
29,1165871,1001221,1035569,1761046,643852,1403451,1200508,692676,1231753,521754,1411650,754088,1191232,1236020,669883,1028399,504114,1008439,812796,1326235,526199,452715,912985,861247,608811,893595,802947,627766,743450,545343,1012043,685333,717769,714388,874952,1065707,866353
30,1165607,1000140,1031568,1755758,635759,1393163,1198546,690170,1217292,515687,1336681,739250,1164236,1193033,662415,1004785,503279,993796,810858,1303431,509642,446347,910075,848091,595350,883545,784999,618046,738167,544814,1009925,681724,701992,672656,839636,1064703,828862
31,1144263,979989,1025938,1738906,632744,1375084,1195479,689105,1209978,502321,1335283,702717,1159694,1171689,652521,1001304,497974,968981,800907,1290392,509343,445006,905823,810082,562144,860705,782441,608993,736997,536719,999191,671658,688141,649314,808659,1063957,820066
32,1110044,977579,1019845,1737480,624866,1370821,1181803,677386,1194589,488322,1328610,677338,1158147,1166221,648209,1000471,468110,948375,788994,1281223,509341,436544,882421,800639,540242,859711,767931,596479,728456,516481,973073,642560,686801,636465,802874,1062617,806716
33,1102757,967427,1011893,1713868,604786,1350835,1177911,676888,1193071,486421,1321543,676600,1148570,1161237,630661,965564,465420,918160,741294,1272779,503534,436416,881459,800047,540036,852467,754662,587784,728304,514592,955020,624900,685303,635592,776730,1060531,787303
34,1098780,964398,1010950,1713671,594770,1323522,1146577,675151,1181677,473266,1321262,673081,1122204,1153735,624608,947782,457286,873995,737182,1269118,489528,429567,869390,786489,507088,846274,729667,586708,727428,503516,930525,621331,639688,634803,766895,1056921,759030
35,1096069,945126,989973,1711282,583816,1318493,1138043,674978,1176744,463639,1286237,664032,1112034,1147393,623258,942551,455416,865281,724112,1262786,486362,425158,866127,745040,501471,834145,728712,576149,707364,481823,928534,613515,632034,632237,744348,1053887,758151
36,1088859,943431,972635,1692694,581467,1315540,1129649,666698,1164561,463102,1251606,659680,1102688,1145167,617368,911061,451330,852503,722352,1256018,479265,423353,855106,744994,482190,830379,697811,570636,702914,475811,917125,609191,624106,631281,716941,1026337,749977
37,1051275,942581,958526,1674714,574652,1302737,1129276,665035,1162260,454300,1251495,658045,1096979,1144781,615273,890089,446994,827530,706889,1248643,477577,418733,760320,717254,478716,820868,691693,552890,665000,455902,894560,606199,623747,619045,705597,1022993,744188
38,1038703,938294,950412,1664209,556117,1261071,1114328,662121,1114317,439175,1232879,656421,1091380,1143623,615040,885780,444014,777052,704844,1242079,475696,410787,746692,690920,478323,816708,690180,547460,663826,436681,878150,605431,608586,612254,688091,1017372,707841
39,1038028,935116,944966,1655608,542186,1259721,1113010,644460,1103516,439103,1210582,650560,1081773,1123199,577892,848596,440640,758985,676191,1198203,437893,406784,709330,672782,469798,802611,666248,543593,660776,434717,810822,601024,601757,606966,646700,1008003,706087
40,1026457,917562,934877,1637943,523747,1246106,1079160,631688,1099837,436552,1209237,648616,1079462,1115540,576741,840251,435809,735436,650463,1197439,415246,406521,706845,671257,469373,776219,662161,537517,649737,423324,788031,589927,601370,592601,637603,984067,696609
41,1023886,897719,923022,1598653,516837,1245795,1056243,630680,1089985,431889,1204477,646997,1055535,1103407,557754,811757,434751,722673,648736,1195753,408643,404119,693437,667500,429921,770797,657955,514525,645917,407903,779706,583125,591896,560746,620610,972016,684817
42,1013374,894095,901445,1592392,514209,1218813,1034832,618248,1077658,430934,1180838,646134,1054550,1074935,557297,802675,425569,703062,632474,1182975,406097,390917,676280,655908,419571,757862,657933,505826,645618,388501,766345,561910,534434,537038,609833,965654,679438
43,1003390,890877,867672,1538671,509129,1118016,1029026,615850,1076282,429037,1164872,645016,1039945,1036884,557258,799146,421422,695969,612865,1168233,395298,386711,657746,631553,404291,754162,657213,496135,596453,371869,764413,556201,521927,536281,602409,904283,667589
44,963907,855662,810027,1530038,508618,1100146,1019061,611252,1071749,417055,1140590,640061,1031973,1034145,544821,774808,406629,676664,586703,1128106,389802,385701,645049,624436,401124,751154,647298,483361,592094,360698,749004,546821,509713,499693,589940,894750,659539
45,955044,850736,776843,1510477,491697,1090294,1018410,611103,1065776,415375,1137009,634012,1008535,1020199,538873,765998,392847,655471,564668,1083564,370981,370624,630495,619307,394163,742655,643339,477966,579720,359154,731498,543344,503397,480882,584371,865993,645355
46,928312,847373,750203,1430707,477041,1074078,1018245,589249,1042707,415091,1127651,631166,1007228,1003324,485737,758375,387824,636154,551432,1083485,362477,366699,625811,606117,368012,717756,617537,457710,577162,334326,713207,521059,497570,473838,581900,797949,629739
47,905781,836893,699660,1319636,469911,1060894,1011333,588166,1040386,412662,1114103,624733,1002750,982352,485361,705169,365299,630412,530722,1078032,360714,361374,611435,592925,359236,705859,612279,449853,562806,328764,707285,517234,493911,464471,569378,749859,627897
48,884737,831652,697000,1319270,434228,1055988,999434,585548,1005457,410054,1109766,622581,947253,963893,476250,684864,353930,625960,516366,1049912,353941,356306,597665,571508,358689,700327,590043,449787,560738,322360,702391,502623,476949,456596,558573,724773,624473
49,860936,822324,675440,1313927,428341,1027867,956690,570793,963841,405559,1107383,614920,941894,920940,464208,611968,340542,608898,497810,1048828,338805,355695,579251,553270,337244,693209,585948,418084,551093,317175,692625,489990,467695,451743,539146,713637,619322
50,843882,816633,647437,1301145,417045,1007460,955917,548386,936910,401912,1091963,600912,926626,917427,452482,596734,334257,600463,495142,1030481,331638,352988,576322,545968,335999,687071,585573,413664,482937,305140,670574,476962,465595,450938,529823,711399,584938
51,828645,760996,639011,1294141,402616,921605,942051,524472,926168,401778,1083266,588300,910782,914328,439628,581025,320354,592675,491960,1000785,326420,304693,550104,518358,330400,683185,584451,400922,465803,303380,667620,458522,464108,423654,519559,702107,584535
52,806031,756897,621096,1263013,399680,917124,917399,521672,922144,398002,1064674,578869,897336,910981,428829,577728,292108,580295,485261,951496,320455,303385,537800,517660,329299,672452,543891,399242,454745,297310,663180,427067,458937,415184,519404,693358,567137
53,777544,756576,604456,1249918,370825,898819,900367,516587,897379,385039,1060501,563676,868209,904084,421036,569981,289986,578643,471547,895453,317100,302197,523269,509236,325400,668083,541020,389095,452417,282707,658217,422910,421981,413285,516939,688474,552914
54,772675,747784,563217,1238576,365925,892242,895909,500365,875196,368901,1051123,556638,851599,895130,407440,567703,288385,577642,455452,892323,261477,300115,479002,504690,323510,651097,537004,388190,444896,280969,648701,416843,414846,410450,514968,666525,547848
