rank,未来,静香,翼,琴葉,エレナ,美奈子,恵美,まつり,星梨花,茜,杏奈,ロコ,百合子,紗代子,亜利沙,海美,育,朋花,エミリー,志保,歩,ひなた,可奈,奈緒,千鶴,このみ,環,風花,美也,のり子,瑞希,可憐,莉緒,昴,麗花,桃子,ジュリア
69,404516,394542,311375,841730,184501,457997,508326,291223,457783,177094,594221,328218,515284,497703,208627,321521,131986,341876,219192,483930,142964,150689,283380,317172,182681,355438,222006,201732,220041,118085,361197,220174,193902,229038,239994,370804,336764
70,390027,373581,307128,841657,182221,451889,488498,265623,450019,172504,566458,327104,501596,486329,203697,312120,126058,313100,209397,480564,141057,145204,278412,315277,182160,355249,217967,194638,218414,111071,357541,219314,192736,225081,219794,363083,335915
71,383137,371731,303589,806065,180734,434323,485409,259503,447674,168082,563510,325030,501127,482193,197555,302042,124774,306936,208360,468304,135395,144945,277005,307521,179608,353012,215731,189395,217453,110933,356274,211082,191942,223598,212692,362410,322278
72,382672,357370,297955,802734,174988,431065,478288,249969,447451,166601,562826,321143,496467,478815,195564,298134,124659,304174,201764,452962,135124,142514,268287,304125,174030,322153,210381,187983,216609,108000,346647,199500,187338,215449,206596,356365,321457
73,365144,356881,287939,796636,172865,429350,477977,245953,441560,165975,557313,310889,481790,476404,187351,295620,116770,302498,201219,442621,135088,137325,253832,292186,172519,318949,209909,186831,213137,107465,339312,196760,187190,214404,202693,334757,317403
74,359278,354991,286324,794353,162781,424885,463864,241816,436734,160516,547672,304390,470208,464999,183048,277151,111325,300354,196799,437838,127569,130267,253616,265173,164235,318415,209893,185172,212575,105558,337448,195264,186117,199607,187357,331982,311451
75,347592,353464,283183,792931,158555,414620,452277,233135,436063,159384,538335,296296,470023,445005,180498,267276,105882,297087,194563,410817,125727,129166,246749,256616,162834,317170,208099,185001,207505,98528,326438,193410,181131,191186,179193,329976,308747
76,344232,352623,276200,755373,155842,377409,408263,233093,427651,158971,536293,294628,462373,435858,173915,265628,102954,290803,188969,407643,119622,127376,235353,253762,151820,309588,204191,184129,206722,98517,312512,184630,177473,190740,178838,328857,305803
77,341386,348729,274678,751759,144816,372495,404593,231193,419450,145928,518976,287800,416667,432694,172155,264849,102714,272473,186454,402516,118528,126450,226683,251160,151228,304772,200960,182933,205070,98462,312396,182711,177176,185374,166771,326953,304080
78,340298,341632,273261,740324,143447,365711,401004,228014,411431,145879,503178,284294,410272,431817,155468,256828,97431,271893,177027,389344,116500,124059,225727,246243,149314,303913,193565,176125,202255,97071,308001,172278,173821,185167,165084,326297,293817
79,339541,329442,270123,736236,138774,364938,400933,227116,404558,141517,477300,283923,404055,409864,154133,256046,94832,262457,162241,389058,114552,123550,224177,243419,148803,302279,182083,175420,200833,92235,301004,172070,170676,185090,147698,319796,292310
80,329391,328897,264194,732018,133572,363616,399942,215481,390608,137872,467276,279498,402260,373324,153679,251742,82402,257127,153765,381859,110378,121388,220435,243227,146597,301670,180837,167839,182403,90873,300477,170803,169532,183264,147018,314272,290376
81,314055,322135,263649,719717,132444,360512,399795,213726,383502,131412,466640,275777,399499,367751,149047,251587,82368,255942,153412,369941,107755,121368,214967,233701,145125,296330,174999,164773,176326,88733,280515,155499,169417,180999,146044,303283,289354
82,313143,320705,247257,706976,120448,351019,392518,211090,381397,131277,449450,273437,393573,351264,145708,243675,76419,255129,152583,368400,105686,121280,214619,231626,143101,287683,172614,153506,171952,73229,277278,152497,167580,169253,139214,299560,287238
83,301474,317749,240717,690138,120006,347124,390159,210447,366894,129738,441532,267083,393415,351187,144272,238597,75357,245215,150145,363416,103316,117808,207843,227750,139277,287275,166278,152214,169622,66862,275263,152392,167005,163076,137326,292222,285500
84,300482,309650,227977,683979,119700,346383,381696,209831,362736,129717,421692,264796,384052,348886,141983,236514,74398,244460,149706,361823,99203,116675,206606,227440,130424,280692,161941,149684,159790,66360,274052,149633,162832,160078,135570,289745,279145
85,298749,307469,224944,674091,114847,342676,379248,209580,345749,128648,416154,263572,381639,346329,140545,234120,73675,244423,148014,355596,97468,115734,203015,227369,130392,280525,151281,144117,157344,66186,271893,144953,160289,158401,134216,285679,266043
86,293791,306464,223942,673578,114160,338309,374474,207998,340613,125362,399660,263189,376249,339198,140333,228637,70109,243983,144689,353018,95606,110853,202713,223422,126232,280046,145398,142883,147263,66065,270343,139249,158109,157992,132419,283247,264843
87,286570,305709,212845,660956,107371,331179,367769,207049,334012,112767,385654,256742,373570,336274,133097,228510,63361,242044,141098,352655,92122,109093,190671,223054,125785,279722,144757,140764,145829,65359,268637,139139,158046,154438,131697,280052,251717
88,260431,303551,209860,657367,107361,326027,367767,199753,324798,110830,375527,246505,350506,335272,132096,225302,63281,240511,140258,348271,89620,109066,186954,216607,123579,276915,143580,140001,141999,64080,266966,136395,155300,153187,128953,277838,248828
89,259877,301795,209840,645053,106937,321445,366583,187261,323539,109678,361323,238362,343431,320170,132071,223369,63025,239172,136267,342611,84452,108677,182371,214098,116342,266605,143343,133955,140278,63246,263248,135166,150466,152905,126645,277477,243262
90,258058,301185,209437,642362,105003,309409,363086,186877,322559,106608,359089,232461,341921,311299,130597,219152,61600,225008,134849,334010,80244,108272,176859,209292,114332,264200,138967,132564,127971,62792,259319,132921,149516,151853,120541,275879,240090
91,257943,297085,205808,640554,104375,308718,358141,185155,318393,105161,354933,230759,339286,305690,127151,208356,61219,223036,126614,331165,80185,107176,176426,194816,112962,253154,136790,127361,122438,61950,258158,129698,128765,149924,120508,275786,240047
92,225465,277837,205527,621715,102080,302329,357050,184233,310307,102963,350763,230343,331384,302883,126511,207682,59996,217685,119004,326537,79296,106326,174666,189169,105320,251050,133422,125390,122137,60724,251870,122880,125290,149635,120165,268397,239760
93,224376,267413,205420,604674,94090,292482,333050,182538,309269,101909,345203,229710,328143,295834,125386,201606,58385,213635,118547,320789,77251,106295,167696,188362,104531,244763,132404,125103,117638,60511,239302,121018,124759,145540,120093,265173,233524
94,218684,266157,204926,597703,85866,287894,330853,181681,304801,101049,341431,225477,322796,288482,121857,200657,56898,207023,107502,320283,74492,103722,156700,184975,99959,243093,131160,123344,112832,59812,238799,112524,124053,145106,115863,265111,226393
95,215255,263435,199571,594218,82951,279426,329339,174787,290999,98451,339639,218872,317881,277500,119291,199988,56282,205661,95366,320007,69700,100727,149592,180926,99299,242381,128266,121539,112729,57323,229783,111127,121323,140886,114455,262906,226159
96,214739,261222,188673,594135,79575,278112,328449,170369,288487,97898,334019,216904,317422,272779,119015,195260,54994,199798,95107,312213,68093,98710,148684,178797,95521,230388,125775,121404,111840,56630,215735,109495,120160,131970,111113,259474,225484
97,214326,259283,186885,587982,78680,273933,328448,167477,282068,96199,331230,214002,315862,269442,114952,194680,54398,198774,88310,300198,65639,98017,148420,177744,92931,230330,124166,118620,109961,56175,210491,108354,119479,131961,108447,255441,217783
98,214053,258275,181081,580498,77802,272955,324195,166887,280604,93231,328912,212464,307662,264412,114915,194298,50366,197157,87449,293329,63018,97296,147930,177042,92241,227273,122500,116828,108622,55300,209986,105554,116960,131231,107629,249695,217668
99,203717,258202,175503,577199,75428,271890,317690,164695,280234,90336,328015,198755,307171,262541,114023,188899,46330,192054,86489,290252,61948,96113,147446,174197,91062,225323,122079,114173,106920,55081,208866,104697,116728,128090,100272,244640,216504
100,200315,257923,173866,574581,73493,271530,312128,158968,279966,90334,322585,195416,302758,258853,110267,187051,45880,191674,84265,288117,61709,92398,143986,171964,89703,223366,114794,113571,102062,53978,204039,101222,110700,127496,98869,243445,215362
101,199348,253862,164591,566428,70678,269432,306554,153695,273350,89458,319404,187258,298924,248320,106890,185696,41092,190833,81229,284633,59022,90951,143142,168701,88220,220906,111732,110574,97955,53370,200252,98985,110665,122277,93584,234460,214188
102,199343,251925,162628,564482,69194,268658,300990,151047,271679,87232,315156,186000,287952,246878,104848,176685,40915,187106,81072,281638,57611,89468,142295,164069,86539,219790,106320,109797,97348,53279,200040,98704,107975,116603,93245,222560,212489
103,196545,249554,161369,563829,67793,268525,297039,149994,270819,83820,314689,180254,282237,234266,100965,176416,40256,184233,80681,280480,57101,89439,142001,155721,85951,218349,100975,109588,90555,52690,197974,97426,107183,115607,92291,217497,211491
104,194167,248752,160709,552399,63951,261298,294618,149951,262799,82443,309260,175455,274739,229681,95227,174254,40236,177727,73295,279238,55392,85059,138780,149953,85892,217331,99439,108837,85837,52681,195624,91740,101008,114732,86986,212246,208847
105,193347,244108,160642,548285,63218,251761,291585,145486,262603,77914,306581,171357,272936,227681,93731,173036,40061,167766,72532,267847,54860,84583,137763,148049,85095,208077,97212,105849,84774,51098,194746,89372,100263,112730,86153,206849,205294
106,187726,233622,160441,542373,63084,246910,289006,143803,252853,77138,300861,171287,242554,224770,89531,169599,39294,167484,72140,264180,54231,73543,137167,144950,84899,207424,96893,105486,83577,50965,192083,87383,98678,106324,84468,205022,201083
107,184869,229387,160117,542227,62374,241788,276493,143270,251156,75340,296252,169215,240858,211856,89452,169015,37265,167296,58435,261450,48744,72230,129860,140791,82665,206047,86785,104889,81321,49867,190575,87180,98300,103922,81302,199825,196145
108,179778,227701,156070,539647,60142,241209,276271,141761,242627,74541,290331,159157,236107,206227,89248,162658,36502,165428,57765,257152,47749,68658,128117,138902,82288,203382,86704,102523,80731,49345,189071,86375,97442,102966,78375,199258,195849
109,177610,225478,149849,518605,58968,238711,275427,138127,231171,74200,288192,156589,233384,205715,83169,155174,36441,163484,57709,256108,47635,68338,127999,134871,82265,196584,81829,102253,79198,47030,187272,86351,96391,101316,75886,199237,190168
110,176680,225332,146774,518457,56709,236677,274571,136039,230684,73884,287487,156346,231265,201064,82152,149570,36180,153136,55934,255671,47073,66989,127578,133134,76677,186809,81338,101969,70903,46290,186427,81753,95280,100205,74226,190648,186263
111,174182,217526,142259,504752,56354,234849,273224,135000,229790,73049,287422,153858,230632,199926,80981,148954,35381,142086,54093,254153,45405,64711,126715,132522,76262,186295,79685,100743,67537,46077,182945,80276,93937,100174,73333,190399,184370
112,170247,212787,141680,490066,54387,231500,269898,134946,226050,72057,285826,146521,230616,199693,80590,136791,35112,139788,50008,251848,44294,64458,123527,132146,74646,181508,79256,100133,62091,44710,181188,78882,91250,97033,72663,190368,180806
113,169802,211954,140245,470078,54105,229177,251124,134354,226007,69819,283468,144064,226107,198120,80586,134758,33322,139483,49782,248849,43240,63028,117581,130300,68921,176852,78349,100051,61774,41492,179280,78619,86527,96760,71332,187456,180706
114,168145,194224,138592,468405,51188,229036,250492,134172,213054,66857,283061,143368,226075,190290,73314,133003,33153,138411,49384,248289,41630,61498,117064,130039,68024,175248,75806,100022,58547,39944,179199,77265,85913,93345,71313,180611,179538
115,164602,192377,138147,447645,50154,226167,247718,131751,205126,66744,277216,142459,224984,188794,72507,132165,32898,137303,48162,247292,41558,59066,116204,126258,67991,174599,75269,92907,58004,39433,176671,76514,82222,92395,69627,176793,179336
