rank,未来,静香,翼,琴葉,エレナ,美奈子,恵美,まつり,星梨花,茜,杏奈,ロコ,百合子,紗代子,亜利沙,海美,育,朋花,エミリー,志保,歩,ひなた,可奈,奈緒,千鶴,このみ,環,風花,美也,のり子,瑞希,可憐,莉緒,昴,麗花,桃子,ジュリア
1,5374729,2820821,6708386,7303684,8070000,3750000,2081850,2025904,2068863,2229777,6285443,5014649,3270293,3450000,2031736,3501883,4090492,3047937,2503704,2531406,1743726,1677573,2872303,1809606,2017723,1998484,2378851,1568410,3803838,1086799,3523375,4038000,2802857,3571075,4507811,2943840,4176956
2,3610000,2458186,3402311,4009981,2106911,2804149,2001855,1814592,2064292,1699781,2856850,2093482,2548836,3037125,2012420,2914515,1900001,2357488,1685394,2304681,1128635,1561465,2528367,1500963,1726619,1761194,2115777,1125900,3803838,1055072,2144352,1502128,2029443,1504481,2022955,2160617,2099023
3,2012998,2045286,2639434,3773422,2012345,2751152,1664328,1420901,2053332,1484737,2615721,2053255,2436787,2040700,1641980,2436878,1500461,2326843,1664756,2033445,1016025,1510195,2049756,1378643,1683318,1663469,2049867,1048161,2185234,1037675,2106761,1202782,1913012,1430445,2003262,2059390,1567471
4,1743607,2022487,2290976,3185637,2005697,2746702,1529764,1401349,2045084,1477734,2454364,2016472,2022042,1992539,1610145,1807840,1347843,2060890,1562995,2016711,925395,1107760,1659316,1280393,1561575,1539478,2004587,1043658,1802792,1020482,1749726,1201773,1851016,1250125,1796099,1797648,1254613
5,1673892,2014460,1941045,3002739,1860622,2744727,1527324,1314903,2010657,1401297,2238485,1901516,2001479,1833089,1551125,1769757,1167561,2009849,1476568,2000159,916960,1051472,1514304,1259282,1328320,1377720,1791100,964251,1621340,976932,1680297,1196206,1669812,1183977,1469198,1702437,1204608
6,1624383,1715940,1882462,2555650,1623416,2670966,1503502,1234893,2004826,1323959,2174088,1565488,1887401,1663621,1457934,1751985,1105012,1809239,1225791,1581880,905322,1000000,1474659,1220931,1027070,1371503,1502370,894957,1582216,833423,1662728,1185027,1305615,1135914,1263848,1648175,1173377
7,1607960,1570421,1868958,2548252,1503588,2378549,1500900,1063226,1755874,1279973,2097726,1540932,1815379,1615567,1383432,1488067,1004852,1529379,1154458,1543879,883650,997252,1455246,1129475,1015835,1191189,1362100,730636,1201439,828125,1570563,1033455,1291817,1128195,1215875,1596071,1141247
8,1606346,1545037,1800183,2505853,1359048,2050124,1429994,1040310,1637771,1060198,2012704,1344349,1751553,1609059,1326555,1425795,1000000,1520712,1009854,1520498,805607,935815,1352826,1112123,1003400,1191124,1177242,701669,1155159,817665,1360187,1006021,1148004,1060247,1166266,1560940,1073154
9,1560483,1425350,1749647,2502594,1208273,2007531,1353947,1021764,1591796,1005068,2011747,1316033,1631364,1588604,1229465,1290816,948107,1505901,1000213,1403724,785123,890195,1273569,1007148,995044,1179792,1155025,694875,1135878,794584,1223210,1005439,1108723,1024076,1100677,1525383,1001809
10,1549148,1381332,1545358,2340419,1083712,2003602,1276291,1021349,1531729,913349,1948667,1114758,1600468,1564279,1148711,1236664,923471,1398946,951368,1320360,722811,811198,1246713,994681,962816,1165661,1104834,652235,1126238,768390,1188521,1003993,1026057,1002945,1096760,1517078,937598
11,1520123,1378104,1544763,2280338,1045715,1941732,1271452,913987,1477630,882704,1813092,1049152,1548733,1503400,1093222,1188454,728971,1392045,938322,1268513,712589,760904,1240757,950594,754571,1161648,1094942,634450,1006082,712217,1159136,929076,1020190,955002,1067105,1477648,922549
12,1519471,1346643,1541815,2201573,1022438,1856367,1262187,865257,1474357,863867,1770443,1033082,1519037,1451321,1041551,1171535,674655,1358924,933447,1231796,673879,659880,1201799,923455,747516,1152802,1085391,611520,968773,695527,1138559,916311,1013242,911218,1057690,1407800,914310
13,1508200,1280912,1504579,2148740,977481,1804461,1244699,800946,1437908,828614,1655425,1032844,1435983,1442897,1002028,1070615,673907,1162996,933293,1172391,658389,601316,1185309,868534,740687,1044917,1022700,610277,858852,660959,1109497,905072,1010742,906890,1013193,1308718,865522
14,1507677,1204541,1471327,2118891,948235,1734933,1224332,791193,1413793,791513,1530848,1027538,1415261,1438412,926433,1055194,631585,1120113,901122,1163672,612835,576569,1045347,857008,640408,1020333,942454,604149,852630,648908,1069112,843458,1006356,709579,1001299,1295201,803437
15,1506817,1056435,1328623,2072734,930399,1717150,1200508,788931,1406222,776310,1493861,1008626,1211363,1436717,916948,1053272,601633,1012731,858997,1153342,607726,563807,1038220,850311,638765,1008062,872659,602942,822072,606249,1060030,788980,973334,701675,1000680,1212486,794989
16,1501303,1029380,1205767,2008124,827227,1685620,1200313,785708,1349269,722346,1414979,979059,1203795,1358345,824744,951283,597806,1012202,841960,1128106,576675,560742,1019769,844359,570090,1000806,859761,562433,787709,585203,1054195,783154,907019,684387,946833,1202706,789279
17,1484367,1001221,1055992,1972528,826273,1536187,1193586,750124,1335309,690394,1392976,940992,1180807,1339736,768613,939404,564759,994041,795483,1125586,514082,536397,1008008,821939,566611,971554,832104,559552,749759,580406,1052177,745081,877179,682710,939962,1202156,787321
18,1361541,965493,1054782,1930824,810157,1510030,1179613,713909,1301066,664123,1387779,857976,1172571,1311585,714700,919000,553147,986665,779822,1116269,513859,486458,1007808,814640,555025,952011,812319,555061,747103,568833,1038566,723506,692618,668737,905898,1170207,782743
19,1358978,930948,1024263,1845314,797637,1479859,1173905,705414,1295767,661701,1385839,830579,1153488,1277655,705644,900239,436761,923274,762676,1086967,503738,481567,995388,776860,548063,904824,795355,548521,743701,564387,1029792,721193,661807,626196,866733,1121382,770023
20,1327631,899731,1005567,1824346,748881,1441200,1092936,675151,1177876,515127,1381783,758583,1133595,1273845,678558,894788,431891,904849,723984,1085527,500834,479853,959030,751722,513841,893506,775991,543453,742819,544814,1005464,693139,655997,623197,825529,1060268,745014
21,1265389,865591,999103,1751281,727897,1338260,1065053,652446,1167863,504471,1321175,715501,1087571,1269732,655033,885843,421422,860338,723360,1084003,497350,478930,948096,722429,503340,891584,775258,538877,710882,533277,952690,678570,645738,619045,807807,1052066,737347
22,1213497,821678,987280,1719522,697719,1317400,1056663,628988,1159613,476869,1250842,704821,1075268,1240211,623258,880779,419538,852503,702722,1075151,495587,423312,908163,716655,501471,861144,756068,535768,692130,524019,935684,652363,632918,580713,786184,1043349,732231
23,1203648,812742,934370,1612342,635759,1264451,1056243,620258,1099244,464435,1232719,664102,1031640,1193174,617277,873862,415967,838718,687350,1071286,495382,414286,887634,703006,490353,860866,753558,517323,667739,512256,928817,649102,612372,580416,782240,1026337,717595
24,1165871,801061,932375,1579680,615350,1227710,1041887,614621,1046722,442374,1201113,615694,1026042,1179963,604091,861907,413324,827353,656354,1070500,491206,402681,874978,694147,464472,844945,749392,516149,665420,505229,879909,620465,606572,576519,776258,1016587,717103
25,1155068,766545,926458,1561090,598288,1220836,1014179,613496,1042407,426716,1175664,609677,1018501,1166221,582141,858016,403164,823775,608486,1048828,485711,391678,872181,676095,462854,814832,702982,506443,650524,503612,877731,613467,601370,576314,760221,934747,707841
26,1088859,755829,925248,1512735,594602,1217182,1007890,602960,1030787,413711,1122169,606122,1007228,1139290,574663,844809,402319,816732,601076,1041127,476148,385846,859201,665253,455693,809963,701868,502218,647782,499355,861760,581284,567819,559747,739513,928001,706688
27,1038435,715713,919914,1474579,569124,1217050,1004846,600888,1016590,409289,1120975,590972,1000770,1131868,566807,822954,389820,812402,565233,1040103,475696,385737,858786,662766,455619,785761,682826,491598,638371,495660,843032,576701,525805,559638,680648,901210,703474
28,1038028,699321,913266,1472219,555754,1200586,952234,585548,1016222,407961,1116195,586691,983706,1100185,562217,811397,383932,801079,536978,1034162,475492,380730,846126,653382,450224,767321,647423,484531,630120,490093,803017,573207,511261,556471,659882,883964,692867
29,1026517,687396,872652,1465558,538400,1199856,938125,584083,1007742,407651,1107549,577630,977944,1090114,562133,807137,377150,778573,530610,1018167,474388,377934,785895,626588,437589,747681,642234,476368,626365,485667,801792,570790,508796,555464,636365,881391,689718
30,1025287,679724,855797,1450319,517989,1195510,934238,571371,999276,405726,1105431,571547,975349,1082690,558119,762348,368563,766841,525392,1004001,465580,377416,728136,616181,435675,742983,638280,476026,608521,473303,774107,550811,508699,546682,621506,877208,665538
31,1013374,676428,833854,1431534,499988,1182624,918742,543180,989299,405395,1077786,570373,964689,1033137,545770,752514,355886,750943,518369,1001554,457817,373543,709205,603948,428460,714485,637343,475701,599899,455902,740752,528787,492246,544878,611411,840868,648323
32,1005184,674427,824778,1420397,446660,1175131,916356,533557,962672,390901,1064674,545490,921571,1026925,530489,746878,321817,738988,516366,1000785,447460,363177,678630,592250,410535,708155,621855,472449,594042,452273,739219,525427,472499,527445,603463,828993,644776
33,1003390,647073,802940,1394212,440987,1100146,906696,524455,961780,386531,1038870,543494,918055,1026869,470258,705169,319538,731583,505083,981797,401419,361361,668541,589866,410181,703882,615864,449853,552495,404428,726913,525354,472125,505593,582666,791646,637362
34,982481,646122,779396,1365596,436403,1099107,899833,521697,936257,385579,1008773,537285,881631,959524,461732,683230,311464,707221,499110,975661,379960,360868,665104,570459,401700,696096,614076,446826,551839,377088,696457,487617,450050,499734,582634,771478,627791
35,956181,641232,765002,1329247,436095,1074078,880249,513194,927981,382613,1003253,530391,860910,939068,448353,671486,267102,688103,476241,960479,376064,355282,656330,545078,393987,667093,612227,365820,549164,366209,693109,476962,449711,483795,569339,746282,610114
36,852428,636163,754160,1311705,425617,1049345,841315,505013,925932,371597,999383,528939,856597,932116,440678,657444,261221,667047,475047,950371,367394,340936,635643,530563,382929,652322,610021,362348,548516,362902,690291,474038,420482,482137,564438,708704,603146
37,839175,606860,738324,1307042,415568,1013539,841159,468062,925405,370403,971654,525101,850936,921617,440009,639797,260082,664365,472206,913882,365196,336568,621089,529666,369143,637132,602186,361536,497654,357841,682667,458531,412206,480882,552124,674001,561236
38,826815,606166,737130,1307002,412779,1002767,836278,467023,917747,366783,968938,516339,756123,912050,439752,609929,259480,622205,464449,895453,362729,333530,612548,518358,346275,615525,594322,351400,494806,348005,678422,433045,412061,439719,532732,672188,559684
39,782280,597289,728495,1292194,410011,956575,824616,464928,908271,363962,942474,505345,755443,902351,434440,608219,250297,605686,453117,886768,355015,313633,611551,508671,328126,612580,590630,335526,492775,304279,649328,422784,409474,434959,510337,666897,554673
40,771677,593293,634522,1283383,408457,929557,819358,453990,860222,356326,913898,498037,741574,889399,388355,600275,248911,590208,447472,856231,353326,313543,607748,507683,300708,610722,585905,324167,484189,303894,637276,413048,392431,434762,510151,612965,545505
41,713536,593113,605520,1274033,405599,906654,816835,447113,838082,349088,912980,491510,731924,855451,383286,573506,238393,582655,442519,807583,342161,310424,606268,503541,284565,605691,537682,311112,464559,299945,630277,403082,388681,419127,473352,609694,544729
42,707541,586629,549549,1244012,402616,905386,814965,426149,820983,325138,901935,485365,730398,824772,382140,572677,233427,577642,439811,795548,340007,300115,596461,493887,275838,605230,522742,307134,445871,294033,628299,400439,380989,413371,457352,600366,543948
43,689542,577593,516482,1191841,393644,883836,803286,413778,805147,314967,901900,478826,698370,778832,379447,546414,231134,573881,427682,795211,301491,278862,579250,486640,273164,574437,512891,295878,434461,290697,613116,381511,371053,413285,449110,592230,531680
44,688597,546773,512551,1171454,364197,858044,798532,411906,783541,310652,858205,455470,687648,746847,370794,545564,225698,541821,413979,779462,299797,271643,562941,461876,269003,567781,487308,289471,426988,289144,606841,375835,369907,410598,431054,584398,529651
45,685781,538522,511964,1125134,327563,841638,798525,408897,725114,306479,854053,435220,683706,746095,353443,530266,223410,527576,402706,777777,283926,267580,544610,458916,263871,552376,477832,284713,409611,286991,604639,364614,366653,383395,423559,562786,509638
46,675589,530501,502892,1116181,315067,798238,788734,407990,718827,300054,846056,429389,681026,739709,340973,520265,219232,517045,390617,700353,271108,267199,529526,452545,262440,541966,466939,283057,396818,246910,604083,363693,364623,382952,418567,548775,506022
47,672949,528645,500070,1040695,311643,796100,752007,406580,686181,298240,843564,425737,679727,720530,335752,510625,218927,505406,383454,686757,270345,250717,473987,448814,259436,539224,465058,282417,384103,246276,593684,355332,358651,379799,417548,543645,494802
48,646249,520478,490661,1011958,307102,780669,742110,389199,672808,297035,840046,420180,678588,716591,329837,498779,212911,503718,374642,677457,257632,247857,472860,440387,255217,526715,464392,275124,374849,228075,585700,351462,352452,378613,415568,536095,481930
49,618217,520191,482869,1005298,306766,775371,742051,385134,661400,291517,834482,419490,677767,715018,324096,488679,211063,490603,372207,674808,244552,231839,454815,428239,255068,525697,464176,272843,365547,227567,572933,349115,346032,373581,407560,533547,462671
50,608429,511473,467463,1002547,298239,729310,703597,379691,661051,282041,828814,416596,662172,702901,304668,485809,205987,478083,370159,664529,235346,212515,447651,425190,247616,519778,463859,268637,364922,219926,558952,345586,344285,372639,371358,513321,461177
51,607054,496880,465366,1001157,294528,702269,700487,367222,648578,269788,815575,415273,654059,701462,302003,485035,196666,467833,364990,661117,231029,210840,432686,419361,243864,490528,445381,259538,348431,197944,552900,339219,337504,320788,345393,510466,454418
52,586063,481488,464931,971968,291117,700006,665335,357353,632791,261977,800568,409986,620761,698593,301441,472610,187589,460050,357113,653485,221639,209799,418730,418957,234941,478119,427061,258086,339903,188304,546806,335866,327806,318931,339780,504811,453522
53,584467,477715,459421,967025,277653,675746,652787,346410,627561,234688,751125,391646,612553,691362,293647,459330,178432,458260,355175,646713,216887,200375,393340,418490,232554,471519,419148,251336,325609,175190,545191,333579,313292,315834,320749,500733,450423
54,567218,474953,458550,958626,267506,659231,642330,343608,625819,232844,750736,388121,606640,674022,284753,434173,173804,454564,353548,623743,213284,199585,371860,409779,231891,459478,402691,244874,318238,167909,532311,333417,298397,313383,316928,500113,440663
55,538333,463830,437553,955322,263345,642214,641715,343424,625628,231063,720608,381863,604547,636847,284419,425335,171083,451174,347674,622451,210059,198586,369279,408375,213522,443361,378356,243422,308834,162167,532253,324819,285649,311050,316900,489031,426874
56,516220,460346,436098,926725,255679,633012,603328,338105,615351,223152,695924,378144,601876,629705,281290,422740,167422,447579,324742,618686,203720,191952,367032,407099,212355,432669,371179,240641,281923,161338,515353,298028,275702,308306,314206,475884,422008
57,491112,454910,420489,920795,243268,631525,593448,331768,604875,222381,676253,373623,595586,628954,277051,418460,161127,409328,302243,617037,198927,184198,364870,402899,211619,430460,356685,239915,281689,159938,494385,296791,268298,297190,311666,474590,419410
58,473506,450260,413283,920310,243172,619682,557528,324370,592358,216513,658864,372721,580574,622737,266655,412738,159594,407168,302082,615301,193754,179542,358546,391972,208470,422939,333485,237170,277915,150036,485488,296198,263445,288917,310756,471707,416859
59,460922,445160,390611,914985,226468,618079,552473,323730,589803,207334,651238,356824,576795,601673,263040,411260,159468,403184,289459,606037,175072,179324,342037,388710,207114,390349,286708,232049,269810,147506,485480,293815,254165,279651,288812,459521,414842
60,459233,442936,384174,895736,219180,613053,552147,321564,589669,205691,650483,355545,557012,582684,259802,382612,154444,370005,286879,589495,172443,177029,340497,381795,200489,384522,284320,225268,269560,142942,485257,287477,246281,275505,284084,454497,404635
61,445204,429052,376588,883833,216181,609527,551603,314183,577422,202520,642750,352782,530575,579983,258026,362805,152195,363942,283684,587729,170923,173551,334017,380908,199988,380234,281467,219901,263537,139918,465905,265775,244929,269515,283783,454222,379841
62,444061,420944,362213,869949,211795,586236,544172,312880,546402,196657,642098,342725,527371,578304,250191,361322,146463,361144,281735,555795,163984,165098,316814,372914,199665,375555,276982,216742,253553,139564,458030,259666,243336,259391,279006,425519,374406
63,439749,413546,354355,862246,202281,511155,535827,306209,528341,193788,637342,342142,527331,577569,248008,351727,145817,355742,274562,551290,161348,161424,313571,367444,195087,369523,272538,216279,249589,136862,433853,252889,242346,257724,276338,425042,373207
64,438188,408810,343174,861342,197515,506551,531096,305398,510959,192595,623518,341977,525142,538814,237195,341919,143405,354358,247167,549721,160540,161027,312376,352985,193771,365495,258118,212586,243404,132763,409140,241923,241092,254466,268632,420513,370200
65,423092,408431,337371,860162,195206,497814,526288,302766,505938,191396,612280,339952,524243,517962,233523,334878,142310,353625,244192,529359,157646,160845,312234,347524,192368,365069,250187,211728,238546,127394,383088,241615,218475,246913,264148,380309,368881
66,422434,403534,329869,859446,193864,493121,518592,302742,478012,185916,603480,336284,521561,508582,224213,332898,139164,352742,230894,505495,148093,155965,308809,344757,192125,363906,244488,210829,231059,126608,381190,237636,215975,244717,258324,380252,357141
67,413577,400464,317842,853149,187255,492588,516204,297009,464574,182376,599524,336002,520575,503965,216915,330619,138669,345744,226439,492646,148082,152766,295862,340137,186690,361898,239035,208865,228720,119765,372501,227375,215171,237894,248511,378437,349165
68,406289,400207,313555,847164,184831,470241,515204,291514,461601,181628,599144,331804,518920,500103,214506,324526,137338,344092,222808,486909,143265,152261,286240,334249,184046,361048,233868,205293,226027,118127,363759,225018,200308,230017,242335,374941,345502
