rank,未来,静香,翼,琴葉,エレナ,美奈子,恵美,まつり,星梨花,茜,杏奈,ロコ,百合子,紗代子,亜利沙,海美,育,朋花,エミリー,志保,歩,ひなた,可奈,奈緒,千鶴,このみ,環,風花,美也,のり子,瑞希,可憐,莉緒,昴,麗花,桃子,ジュリア
21,3311557,3505112,3761225,5108015,3449171,3750000,4125590,3504632,3333333,2666517,5118678,3015653,5318939,3450000,3017895,3172796,2438053,3051706,3003171,4878222,2248389,2630613,3003571,3013924,2837256,3438768,3007392,2700805,3521045,2512838,3168326,2725131,2915069,2968404,3078561,5642071,3022979
22,3305550,3504482,3593685,5108001,3436791,3750000,4123691,3502234,3277665,2642066,5007139,3011526,5307821,3450000,3011584,3172415,2433504,3046921,2902091,4867426,2237049,2626514,2998688,3007425,2827625,3407590,3005519,2672349,3503298,2501839,3157381,2717797,2890312,2950430,3067010,5625422,2944516
23,3252617,3412019,3590617,5108000,3436264,3750000,4043265,3471743,3268593,2631504,5000000,3001040,5297828,3450000,3010498,3170083,2432504,3037315,2901597,4855154,2224304,2611447,2941305,3000000,2824002,3400000,3003911,2670612,3498021,2498203,3144895,2715353,2876464,2900438,3063701,5595126,2900000
24,3250460,3405846,3574234,5108000,3434702,3750000,4038693,3465090,3240778,2625354,4918728,3000000,5293940,3450000,2911033,3141075,2430924,3037299,2850231,4837847,2197293,2587949,2935783,3000000,2823236,3359505,3003712,2645522,3476197,2485048,3139907,2707925,2864369,2861362,3004330,5567448,2863121
25,3248489,3322321,3569038,5108000,3422854,3750000,4015853,3405517,3236851,2610319,4918056,2999020,5288529,3450000,2903498,3130300,2410839,3034552,2849997,4810578,2195454,2585995,2919258,2977055,2821382,3354064,3002100,2642137,3470724,2466848,3130137,2685181,2864162,2832942,2998108,5550271,2845606
26,3238538,3312633,3568263,5108000,3371000,3750000,4009444,3375457,3235699,2574911,4890266,2899785,5274149,3450000,2885165,3106744,2390674,3033668,2787329,4758290,2185184,2565601,2874230,2958141,2815917,3343314,3000000,2629134,3445325,2464467,3127358,2669568,2852850,2807664,2980214,5531466,2830000
27,3225346,3311884,3565790,5108000,3335658,3750000,4002209,3359855,3223229,2571624,4869916,2876071,5274133,3450000,2851274,3097525,2377336,3010984,2785114,4756576,2149958,2553132,2871685,2954286,2802794,3333346,2995711,2616357,3426382,2456963,3121089,2668351,2840718,2800390,2946391,5514687,2829775
28,3223180,3306081,3561810,5108000,3325875,3750000,4000994,3341637,3221220,2560361,4865195,2856579,5271030,3450000,2836832,3096559,2374459,3010984,2784717,4748047,2112887,2548822,2808688,2949122,2786675,3279835,2945947,2610136,3386449,2444386,3075689,2665709,2836067,2781054,2933553,5499463,2829064
29,3200617,3301395,3519032,5108000,3318256,3750000,3963382,3340000,3215751,2556921,4861915,2853152,5267092,3293513,2821883,3068447,2370395,3001291,2784155,4737193,2110468,2541742,2789616,2925469,2782342,3272017,2942002,2607880,3368902,2438768,3065597,2655176,2826267,2776424,2879787,5495710,2826339
30,3193600,3300543,3518754,5108000,3312501,3750000,3958830,3334659,3211615,2542317,4833345,2847192,5209407,3263273,2816292,3053901,2367991,3000000,2781061,4724169,2108798,2530906,2774639,2914110,2747986,3259015,2922787,2583194,3366058,2433965,3061607,2645148,2818898,2768022,2877507,5479230,2817559
31,3185335,3294412,3501953,5108000,3298312,3747136,3952804,3308605,3160711,2534737,4810786,2842311,5198757,3238347,2801410,3044058,2360861,2992250,2761190,4694742,2101792,2522805,2771858,2912324,2744047,3257393,2912704,2573953,3359831,2430060,3055154,2645118,2806186,2758115,2870926,5475533,2806221
32,3183379,3269585,3500319,5108000,3288209,3744955,3941056,3303627,3152664,2533737,4803733,2831707,5190641,3216037,2779163,3040702,2341733,2988270,2756971,4681874,2089834,2520672,2768323,2875637,2741984,3251572,2906670,2568791,3346813,2413113,3045891,2644634,2793894,2756290,2839641,5466039,2791907
33,3176548,3263626,3496172,5108000,3278815,3686218,3899007,3290441,3152633,2533619,4801144,2828547,5145616,3157350,2778865,3034729,2339062,2956805,2735964,4678808,2083066,2518491,2731578,2874325,2723770,3235853,2894124,2555532,3334682,2410964,3032301,2641497,2784100,2750362,2838183,5453590,2781694
34,3175266,3250571,3477707,5108000,3261186,3591825,3863252,3289287,3149116,2532401,4800000,2827208,5119898,3127203,2743487,3030925,2337637,2925549,2725000,4647783,2069520,2516126,2710820,2864458,2710436,3204961,2875079,2548114,3333781,2402946,3031065,2631154,2781500,2735493,2834880,5449995,2774350
35,3174167,3247890,3454121,5108000,3247746,3465959,3856941,3286463,3148696,2522193,4781836,2816751,5111123,3119470,2736953,3022510,2335382,2869409,2717992,4617430,2060734,2502298,2709688,2852884,2710345,3200452,2872657,2543926,3317453,2401259,3027930,2630143,2778164,2730941,2832864,5435738,2758709
36,3165172,3221860,3438509,5108000,3240212,3423903,3847700,3265262,3148607,2521916,4779589,2801278,5108770,3095042,2729556,3017954,2321732,2849515,2710260,4604775,2037055,2501120,2700220,2851455,2708132,3197331,2852514,2536653,3297431,2394716,3016697,2621536,2763288,2725263,2824876,5427993,2730673
37,3164537,3214407,3402259,5108000,3237096,3225181,3840025,3254894,3137355,2520843,4774655,2794553,5108000,3083461,2711576,3009896,2320140,2844602,2709110,4581994,2029320,2500349,2697912,2818956,2702227,3153724,2831474,2519868,3279307,2376253,3015433,2613754,2759814,2725262,2820168,5424968,2730643
38,3153211,3200000,3400035,5108000,3217871,3220042,3835585,3229818,3120232,2519545,4765622,2789734,5101404,3078641,2701450,3004109,2316079,2837513,2700214,4578808,2025556,2498136,2684088,2811798,2676268,3143331,2821778,2519073,3270169,2353742,3007076,2612843,2759492,2718945,2816849,5407782,2715219
39,3150683,3171317,3389616,5108000,3209495,3213235,3818568,3215616,3093715,2515497,4726933,2780459,5100770,3060345,2700006,3000369,2307976,2808829,2699236,4551285,2021117,2489485,2668549,2809149,2653809,3126134,2816448,2515635,3258094,2346538,3000848,2611870,2754682,2716808,2815007,5398727,2714942
40,3149018,3162874,3387957,5108000,3203541,3201932,3816257,3195785,3084262,2512672,4684850,2780380,5083421,3037412,2698050,3000000,2299940,2808357,2687800,4551215,2009899,2475829,2667472,2789429,2649521,3124429,2815204,2492364,3235176,2325876,3000000,2607863,2753889,2715755,2798133,5396661,2711484
41,3143842,3156457,3375224,5108000,3199595,3190057,3813124,3191104,3080083,2508853,4673193,2775716,5061535,3036857,2694294,2971079,2299334,2807743,2684987,4521731,2007859,2471500,2659813,2757203,2649304,3118588,2814133,2477754,3231114,2320490,2992139,2605250,2746138,2688057,2789159,5389721,2708191
42,3126716,3141153,3360283,5108000,3193950,3181851,3811722,3186046,3078540,2507728,4666615,2773289,5060512,3019945,2690111,2968105,2296044,2800744,2682909,4515840,2005596,2469113,2658078,2750926,2647284,3117542,2810020,2451926,3229451,2316470,2950320,2604067,2744828,2687018,2766927,5386655,2682034
43,3113914,3137412,3332552,5108000,3187856,3175394,3810838,3185815,3067949,2507696,4654910,2765619,5050045,3009015,2683908,2957623,2290785,2796908,2680439,4515057,2002990,2468483,2628304,2737324,2630592,3109608,2801482,2436959,3222409,2312235,2940000,2604026,2739096,2686974,2764757,5374366,2676354
44,3108259,3133088,3320828,5079190,3186350,3087986,3807513,3182272,3063829,2503761,4632687,2764570,5031354,2944905,2676587,2940736,2284686,2792997,2675649,4514938,2000429,2464170,2622013,2719982,2623200,3106770,2783606,2435750,3216041,2311294,2907620,2602385,2734837,2678000,2763491,5355022,2675420
